No	ext_gene
1	Chrm1
2	Chrm2
3	Chrm3
4	Chrm4
5	Chrm5
6	Chrna2
7	Chrna3
8	Chrna4
9	Chrna5
10	Chrna6
11	Chrna7
12	Chrnb2
13	Chrnb3
14	Chrnb4
15	Adra1a
16	Adra1b
17	Adra1d
18	Adra2a
19	Adra2b
20	Adra2c
21	Adrb1
22	Adrb2
23	Adrb3
24	Nk1r
25	Npy1r
26	Npy2r
27	Npy4r
28	Npy5r
29	Npy6r
30	Htr1a
31	Htr1b
32	Htr1d
33	Htr1f
34	Htr2a
35	Htr2b
36	Htr2c
37	Htr3a
38	Htr3b
39	Htr4
40	Htr5
41	Htr7
